application,conf,threads,CH,CHv2,CA,CB,CBv2,CC,NBC,SP(16)
__cere__3D_computeTempOMP_150,conf1,16,329.76478032606934,0.032976478032606935,466139494.375,153.35302064909914,0.6052938317301425,0.56640625,0.8467112331319288,0.0
__cere__3D_computeTempOMP_150,conf1,32,183.56264451845044,0.01835626445184504,230446037.76171875,329.33298657884495,0.7670805572223707,0.6611328125,0.9224699090717597,0.5024525816292593
__cere__3D_computeTempOMP_150,conf1,64,96.14764371338626,0.009614764371338626,116184206.69042969,599.5039756348569,0.8570415558978891,0.70703125,0.9604185237606592,0.7487888533094126
__cere__3D_computeTempOMP_150,conf2,16,261.5694518715261,0.02615694518715261,246071065.484375,240.54356671841612,0.7063518158230644,0.66796875,0.8596802607961743,0.0
__cere__3D_computeTempOMP_150,conf2,32,126.62302347240615,0.012662302347240615,133784791.26171875,508.6652942584922,0.8357060917662059,0.7001953125,0.9306209862458201,0.5030082028257015
__cere__3D_computeTempOMP_150,conf2,64,64.32808667557242,0.006432808667557244,67995586.32617188,1021.275967272292,0.9108158892914933,0.730224609375,0.9651257478423741,0.752242133351769
__cere__bfs__Z8BFSGraphiPPc_135,conf1,16,370.26109013848566,0.03702610901384857,369087.5625,30.684317627202628,0.2347972441095375,0.48828125,0.8619643060649057,0.0
__cere__bfs__Z8BFSGraphiPPc_135,conf1,32,266.00877201294855,0.026600877201294854,272830.84765625,78.75343062909988,0.4405701773215609,0.5185546875,0.922902357211171,0.509061768855551
__cere__bfs__Z8BFSGraphiPPc_135,conf1,64,147.27191207991024,0.014727191207991026,189433.12255859375,90.30700393406225,0.4745332650255579,0.49755859375,0.9600758930643283,0.7499671943456607
__cere__bfs__Z8BFSGraphiPPc_135,conf2,16,193.6828738784556,0.019368287387845563,350603.484375,54.19201080208889,0.3514579680243377,0.4765625,0.8425191019965886,0.0
__cere__bfs__Z8BFSGraphiPPc_135,conf2,32,304.8545979291391,0.030485459792913915,96913.052734375,144.0452029699705,0.5902398458030544,0.5126953125,0.9153251354916374,0.5061624684803749
__cere__bfs__Z8BFSGraphiPPc_135,conf2,64,194.66690552349075,0.019466690552349075,109272.34765625,100.28671909611168,0.5007157716133293,0.485595703125,0.9592842242903616,0.7510999787979582
__cere__bfs__Z8BFSGraphiPPc_157,conf1,16,556.0015303586833,0.05560015303586833,69356235.0859375,697.7965069606123,0.874654753276656,0.66796875,0.9164947364815323,0.0
__cere__bfs__Z8BFSGraphiPPc_157,conf1,32,172.56470428969106,0.017256470428969106,331572.306640625,72.80552982701896,0.4213148149824745,0.5068359375,0.924204998625718,0.5075460509618174
__cere__bfs__Z8BFSGraphiPPc_157,conf1,64,109.91290345197609,0.010991290345197607,130125.30908203125,210.90758283614036,0.6783610129808135,0.519775390625,0.9597013557766038,0.7486021821521475
__cere__bfs__Z8BFSGraphiPPc_157,conf2,16,402.7305562351721,0.04027305562351721,227678.453125,44.14330627054148,0.3062459673825523,0.484375,0.8433695656724214,0.0
__cere__bfs__Z8BFSGraphiPPc_157,conf2,32,289.50758268387517,0.028950758268387514,2329344.048828125,1422.0084525656928,0.9342973425466677,0.69921875,0.9593495520964852,0.5002350090758224
__cere__bfs__Z8BFSGraphiPPc_157,conf2,64,191.73869631837448,0.019173869631837443,31510.37744140625,240.4410684209581,0.7062634056936128,0.491943359375,0.9499493695134197,0.726987480392473
__cere__blackscholes_m4__Z9bs_threadPv_368,conf1,16,545.4534645464612,0.054545346454646135,40201.2109375,167.46722298282762,0.6261224127398206,0.4921875,0.8321229829247603,0.0
__cere__blackscholes_m4__Z9bs_threadPv_368,conf1,32,98.13909292178892,0.009813909292178891,5657.009765625,627.4420666561018,0.8625320082743098,0.5712890625,0.8119106238837394,0.43398797606260764
__cere__blackscholes_m4__Z9bs_threadPv_368,conf1,64,90.25063414785407,0.009025063414785407,7516.958984375,522.6181787380254,0.8393879211771678,0.4873046875,0.945742608575453,0.7645721276602931
__cere__blackscholes_m4__Z9bs_threadPv_368,conf2,16,556.1593109856642,0.05561593109856641,67252060.609375,1.363795409857138,0.013454462753123342,0.5,0.8749518175486184,0.0
__cere__blackscholes_m4__Z9bs_threadPv_368,conf2,32,144.02189965567658,0.014402189965567656,35366171.068359375,17.603041779974692,0.14968185782905596,0.5029296875,0.937960813563114,0.5209016228173313
__cere__blackscholes_m4__Z9bs_threadPv_368,conf2,64,64.58861059335533,0.006458861059335533,17818864.979492188,4.377046494153514,0.04193495257023483,0.499755859375,0.9686406963956203,0.7620032517372821
__cere__blackscholes_m4__Z9bs_threadPv_368,conf3,16,489.10490476263885,0.04891049047626389,2645376.3125,565.0786120434046,0.849641834530271,0.671875,0.9742167649068643,0.0
__cere__blackscholes_m4__Z9bs_threadPv_368,conf3,32,278.7948660217291,0.02787948660217291,1483394.333984375,1184.0107756506118,0.9221190336589429,0.7021484375,0.9542382802562566,0.5179884822828194
__cere__blackscholes_m4__Z9bs_threadPv_368,conf3,64,117.02210184263238,0.011702210184263238,371605.267578125,23.068584772914356,0.18744495043540488,0.495361328125,0.9616422987730433,0.7537468905295315
__cere__bt_adi_205,conf1,16,265.6087985985436,0.026560879859854364,1670823.25,162.06499550446165,0.6184152721064287,0.484375,0.7860848312351412,0.0
__cere__bt_adi_205,conf1,32,174.59935908170718,0.017459935908170715,1129918.69921875,185.02579729645717,0.649154564434077,0.4228515625,0.8644148716355204,0.41954235666160533
__cere__bt_adi_205,conf1,64,67.06024491177308,0.0067060244911773086,986683.9467773438,156.796462233491,0.6105865356156057,0.439453125,0.9361718955483962,0.7026403810859276
__cere__bt_adi_205,conf2,16,490.0499781378936,0.049004997813789364,2164237.984375,22.37597397426927,0.1828461359496435,0.35546875,0.6420492898514489,0.0
__cere__bt_adi_205,conf2,32,146.36398251707817,0.014636398251707816,2119028.822265625,364.12099509504355,0.7845389433858259,0.408203125,0.8246799734154084,0.37687663368584523
__cere__bt_adi_205,conf2,64,59.361254694287695,0.005936125469428769,1798636.7080078125,190.23452831711722,0.6554510568407024,0.4462890625,0.9126814430522987,0.6767466011281399
__cere__bt_adi_205,conf3,16,427.885693667244,0.0427885693667244,228783.75,193.86131554360833,0.6597034222928868,0.5546875,0.7837068096510351,0.0
__cere__bt_adi_205,conf3,32,284.91083366188326,0.028491083366188323,424618.771484375,143.15776894192095,0.5887443759862538,0.455078125,0.9072068602934459,0.4685559327387654
__cere__bt_adi_205,conf3,64,116.12954043171041,0.011612954043171041,1226807.5141601562,65.89401441417242,0.3972054968159421,0.4970703125,0.9568131415965332,0.740595420129271
__cere__bt_adi_205,conf4,16,302.3550162097919,0.030235501620979193,244676.59375,78.98524468076546,0.44129472695719685,0.4765625,0.855461661062543,0.0
__cere__bt_adi_205,conf4,32,208.6908847384496,0.02086908847384496,672929.048828125,78.17311157661662,0.43874808541467947,0.4794921875,0.9219351206617068,0.49347048344124944
__cere__bt_adi_205,conf4,64,108.56695339310942,0.010856695339310943,785210.07421875,72.55860256226514,0.4204867302172517,0.47216796875,0.958192696208154,0.749659282063445
__cere__bt_adi_208,conf1,16,420.9223458660504,0.042092234586605035,2085787.5078125,285.37161479263074,0.7405102084287909,0.58203125,0.8676281108318347,0.0
__cere__bt_adi_208,conf1,32,115.39595704884016,0.011539595704884017,2093425.150390625,161.98071998068036,0.6182925216505457,0.490234375,0.9062254115010421,0.463249329308021
__cere__bt_adi_208,conf1,64,96.09132830953658,0.00960913283095366,489521.87939453125,216.65138211845098,0.6841952833713114,0.423095703125,0.907346885866269,0.6861197976430703
__cere__bt_adi_208,conf1,16,341.4665406121941,0.03414665406121941,3064505.8125,215.99339844619726,0.6835376925856047,0.578125,0.8778961720031001,0.0
__cere__bt_adi_208,conf1,32,185.76481063039637,0.018576481063039635,1392743.095703125,100.11516812387717,0.5002877546089006,0.4921875,0.8835558519704956,0.45687458217169263
__cere__bt_adi_208,conf1,64,98.57992405701754,0.009857992405701753,993477.353515625,142.9430897024509,0.5883809655896084,0.4755859375,0.9364327939974019,0.7157108174165827
__cere__bt_adi_208,conf2,16,295.3142663122321,0.029531426631223212,7681483.34375,175.34684696946167,0.6368216992472375,0.546875,0.8736487956242599,0.0
__cere__bt_adi_208,conf2,32,106.44554226185959,0.010644554226185958,5645810.998046875,149.96058424789715,0.5999369248520178,0.48046875,0.9105553245412268,0.4589567748420289
__cere__bt_adi_208,conf2,64,129.93875796958116,0.012993875796958114,3148219.9555664062,105.28991771438108,0.5128840173284617,0.494873046875,0.9441103845291144,0.715145936985802
__cere__bt_adi_208,conf3,16,438.63640596164834,0.043863640596164835,906793.1640625,68.45145872700004,0.40635717401495186,0.45703125,0.8092425208081104,0.0
__cere__bt_adi_208,conf3,32,219.0783503764763,0.02190783503764763,200139.578125,297.90533684577787,0.7486839437924944,0.365234375,0.8953432050116898,0.43287546862802706
__cere__bt_adi_208,conf3,64,149.29022541375062,0.014929022541375061,341599.8779296875,176.71575224320358,0.6386183323885708,0.43896484375,0.9492324697713275,0.7091792591029786
__cere__bt_adi_208,conf4,16,343.2201406963594,0.03432201406963595,183484.0546875,157.34368351745823,0.6114145929942127,0.42578125,0.8605361186230462,0.0
__cere__bt_adi_208,conf4,32,344.5188190547105,0.03445188190547105,806178.7890625,85.40197227691186,0.46063141199683444,0.4326171875,0.9071164885348159,0.4386513135341362
__cere__bt_adi_208,conf4,64,117.09443861460552,0.011709443861460552,649156.41015625,83.55887013242145,0.4552156486479848,0.4658203125,0.9583821920662045,0.7456113994423809
__cere__bt_adi_211,conf1,16,361.49063465288697,0.0361490634652887,2525266.4375,165.0748412364309,0.6227480528383832,0.55078125,0.9052699185479512,0.0
__cere__bt_adi_211,conf1,32,87.00677702950435,0.008700677702950434,3254535.06640625,69.36855745225333,0.4095716377097266,0.5048828125,0.9252291643275079,0.49039962897830247
__cere__bt_adi_211,conf1,64,61.873534703498464,0.006187353470349846,1023425.7553710938,170.48083524595907,0.6302880390432617,0.50048828125,0.9585867055753956,0.7355539271367411
__cere__bt_adi_211,conf2,16,374.4484213467565,0.03744484213467565,10126934.6171875,246.05441465991,0.7110281049346634,0.515625,0.8785562640692687,0.0
__cere__bt_adi_211,conf2,32,120.9563109009117,0.012095631090091166,7605439.873046875,117.74738248460453,0.5407522292164851,0.4755859375,0.9240273812904038,0.46593453668262064
__cere__bt_adi_211,conf2,64,104.4270212052819,0.010442702120528193,4781455.328125,62.84931665728695,0.3859354030299804,0.517578125,0.9587980383904494,0.7419633088771505
__cere__bt_adi_211,conf3,16,381.4438559244784,0.038144385592447844,1151779.765625,58.53665600811679,0.3692310502948909,0.49609375,0.8558628592529456,0.0
__cere__bt_adi_211,conf3,32,242.3304393290136,0.024233043932901363,464480.322265625,151.26302591406287,0.6020106832821392,0.431640625,0.9117739509997155,0.4797069725837122
__cere__bt_adi_211,conf3,64,234.73167509082873,0.023473167509082876,459351.09765625,212.0461752597484,0.6795346076049174,0.460205078125,0.9529810941013164,0.7124866397172486
__cere__bt_adi_211,conf4,16,330.9212697114623,0.03309212697114623,557164.265625,68.38736937796592,0.40613122962009196,0.4609375,0.8626357049717693,0.0
__cere__bt_adi_211,conf4,32,163.4053227414073,0.01634053227414073,684154.880859375,108.2108218260006,0.5197175674011371,0.533203125,0.9096188040777351,0.506980879714968
__cere__bt_adi_211,conf4,64,367.81887330074335,0.03678188733007433,256722.20166015625,158.22812877616724,0.6127455189566887,0.41064453125,0.951832513876977,0.741039087406214
__cere__bt_adi_214,conf1,16,344.69951363672556,0.03446995136367256,2534806.1171875,309.53063647006064,0.7558180241118282,0.58203125,0.8778494933150752,0.0
__cere__bt_adi_214,conf1,32,140.4600743517419,0.014046007435174188,784883.26171875,345.60945978655315,0.7755882470540459,0.5185546875,0.9298886356582238,0.4234558368714416
__cere__bt_adi_214,conf1,64,45.66839953076193,0.004566839953076193,298959.9951171875,487.19149737304656,0.8296978065122265,0.476318359375,0.9538738321799725,0.678030560925508
__cere__bt_adi_214,conf2,16,366.4397899056315,0.03664397899056315,10016244.875,225.18974894271443,0.6924872314544699,0.53515625,0.9111694509914825,0.0
__cere__bt_adi_214,conf2,32,147.28112286955457,0.01472811228695546,4152853.9921875,301.5520884883325,0.7509663058248405,0.5078125,0.9117637225766977,0.43159983402302937
