application,conf,threads,CH,CHv2,CA,CB,CBv2,CC,NBC,SP(16),P-CH,P-CHv2,P-CA,P-CB,P-CBv2,P-CC,P-NBC,P-SP(16)
__cere__bt_adi_208,conf2,32,106.44554226186,0.010644554226186,5645810.99804688,149.960584247897,0.599936924852018,0.48046875,0.910555324541227,0.458956774842029,506.698660191696,0.0506698660191696,46.4375,5.72005383580081,0.0541056651814131,0.072265625,0.395272543741588,0.227498317631225
__cere__bt_adi_208,conf2,64,129.938757969581,0.0129938757969581,3148219.95556641,105.289917714381,0.512884017328462,0.494873046875,0.944110384529114,0.715145936985802,247.007791608972,0.0247007791608972,34.8154296875,15.6994193711256,0.13569142746315,0.169677734375,0.588847437659533,0.466186081736838
__cere__bt_adi_208,conf2,16,295.314266312232,0.0295314266312232,7681483.34375,175.346846969462,0.636821699247238,0.546875,0.87364879562426,0,895.724118203064,0.0895724118203064,70.4375,9.76042590949424,0.0889248181083266,0.1171875,0.230811889973381,0
__cere__bt_adi_208,conf3,32,219.078350376476,0.0219078350376476,200139.578125,297.905336845778,0.748683943792494,0.365234375,0.89534320501169,0.432875468628027,304.785480176429,0.0304785480176429,21.376953125,34.4906349931475,0.256453804347826,0.2822265625,0.751758793969849,0.351941525810873
__cere__bt_adi_208,conf3,64,149.290225413751,0.0149290225413751,341599.877929688,176.715752243204,0.638618332388571,0.43896484375,0.949232469771327,0.709179259102979,86.9424994517912,0.00869424994517912,18.05322265625,36.6618884050523,0.268267099430019,0.399169921875,0.904579017120602,0.65829118545966
__cere__bt_adi_208,conf3,16,438.636405961648,0.0438636405961648,906793.1640625,68.451458727,0.406357174014952,0.45703125,0.80924252080811,0,651.661361882716,0.0651661361882716,35.0625,20.3208556149733,0.168888888888889,0.24609375,0.590017825311943,0
__cere__bt_adi_208,conf1,32,185.764810630396,0.0185764810630396,1392743.09570313,100.115168123877,0.500287754608901,0.4921875,0.883555851970496,0.456874582171693,462.050185132115,0.0462050185132115,34.3984375,9.83420395185102,0.0895368072787428,0.0703125,0.458948444242562,0.256813536225301
__cere__bt_adi_208,conf1,64,98.5799240570175,0.00985799240570175,993477.353515625,142.943089702451,0.588380965589608,0.4755859375,0.936432793997402,0.715710817416583,246.579033028622,0.0246579033028622,29.15771484375,7.55086661642803,0.070207399103139,0.2392578125,0.682123419576321,0.510859917943565
__cere__bt_adi_208,conf1,16,341.466540612194,0.0341466540612194,3064505.8125,215.993398446197,0.683537692585605,0.578125,0.8778961720031,0,830.53455240201,0.083053455240201,53.546875,10.6507149110009,0.0962552742616034,0.1328125,0.327108257951561,0
__cere__bt_adi_208,conf1,32,115.39595704884,0.011539595704884,2093425.15039063,161.98071998068,0.618292521650546,0.490234375,0.906225411501042,0.463249329308021,436.268441557055,0.0436268441557055,36.681640625,10.7502262925297,0.0970673076923077,0.0859375,0.488578882913583,0.272296469836537
__cere__bt_adi_208,conf1,64,96.0913283095366,0.00960913283095366,489521.879394531,216.651382118451,0.684195283371311,0.423095703125,0.907346885866269,0.68611979764307,240.248416440731,0.0240248416440731,30.2705078125,19.8051424331387,0.165311288237828,0.24267578125,0.692034713036745,0.515969287350389
__cere__bt_adi_208,conf1,16,420.92234586605,0.042092234586605,2085787.5078125,285.371614792631,0.740510208428791,0.58203125,0.867628110831835,0,813.514485205385,0.0813514485205385,52.0625,14.1656662665066,0.124079915878023,0.125,0.309723889555822,0
__cere__bt_adi_208,conf4,32,344.518819054711,0.034451881905471,806178.7890625,85.4019722769119,0.460631411996834,0.4326171875,0.907116488534816,0.438651313534136,154.307040095416,0.0154307040095416,16.880859375,50.1330556519727,0.333924167694205,0.4296875,0.883142427397894,0.424273978942497
__cere__bt_adi_208,conf4,64,117.094438614606,0.0117094438614606,649156.41015625,83.5588701324214,0.455215648647985,0.4658203125,0.958382192066205,0.745611399442381,63.3540547094352,0.00633540547094352,15.90380859375,54.4441374228608,0.352516698473282,0.449951171875,0.948328267477204,0.703539958859108
__cere__bt_adi_208,conf4,16,343.220140696359,0.0343220140696359,183484.0546875,157.343683517458,0.611414592994213,0.42578125,0.860536118623046,0,373.783111572266,0.0373783111572266,23.15625,39.8110661268556,0.284749034749035,0.41796875,0.759109311740891,0
__cere__main_main_295,conf2,64,144.289993885553,0.0144289993885553,213657.034667969,70.5921627230385,0.413806599296399,0.4873046875,0.965221293351848,0.757475392937883,135.173850442564,0.0135173850442564,17.72265625,19.5503636764382,0.163532448377581,0.4794921875,0.924178972889575,0.486003967379325
__cere__main_main_295,conf2,32,227.849876075005,0.0227849876075005,252805.216796875,66.9340427769277,0.400961012286577,0.5146484375,0.934563063857116,0.508977356122999,289.705693721771,0.0289705693721771,24.314453125,25.5683187404611,0.203620777891505,0.478515625,0.957406217366857,0.743111896537874
__cere__main_main_295,conf2,16,451.374587103672,0.0451374587103672,498562.828125,21.9361112994128,0.179898399790271,0.49609375,0.868650362239639,0,347.853504908265,0.0347853504908265,24.71875,25.9165613147914,0.205823293172691,0.49609375,0.855562579013906,0
__cere__main_main_295,conf1,64,90.0719788582665,0.00900719788582665,117165.009277344,166.954527468707,0.62540436774678,0.50634765625,0.964552592737392,0.752924035141594,88.5485133147647,0.00885485133147647,16.4765625,18.3499288762447,0.155048076923077,0.4775390625,0.90742057847321,0.478899952584163
__cere__main_main_295,conf1,32,204.708422076044,0.0204708422076044,273922.107421875,56.4140478775334,0.360671235372053,0.5166015625,0.9353043087872,0.512429753157688,81.0704756756218,0.00810704756756218,18.451171875,42.1827035037578,0.296679571173317,0.45751953125,0.951439610458347,0.721498888536043
